name,S0,K,T,r,sigma,option_type,market_price
G9F6C 70.85 Comdty,73.16999816894531,70.85,1.008219178082192,0.0452799987792968,0.1934,arithmetic,5.35
G9F6C 71.1 Comdty,73.16999816894531,71.1,1.008219178082192,0.0452799987792968,0.1934,arithmetic,5.25
G9F6C 71.65 Comdty,73.16999816894531,71.65,1.008219178082192,0.0452799987792968,0.1934,arithmetic,5.03
G9F6C 71.85 Comdty,73.16999816894531,71.85,1.008219178082192,0.0452799987792968,0.1934,arithmetic,4.95
G9F6C 73.8 Comdty,73.16999816894531,73.8,1.008219178082192,0.0452799987792968,0.1934,arithmetic,4.23
G9F6C 74.4 Comdty,73.16999816894531,74.4,1.008219178082192,0.0452799987792968,0.1934,arithmetic,4.03
G9F6C 75.75 Comdty,73.16999816894531,75.75,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.6
G9F6C 76.55 Comdty,73.16999816894531,76.55,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.37
G9F6C 76.6 Comdty,73.16999816894531,76.6,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.35
G9F6C 77.4 Comdty,73.16999816894531,77.4,1.008219178082192,0.0452799987792968,0.1934,arithmetic,3.13
G9F6C 78 Comdty,73.16999816894531,78.0,1.008219178082192,0.0452799987792968,0.1934,arithmetic,2.98
G9F6C 78.45 Comdty,73.16999816894531,78.45,1.008219178082192,0.0452799987792968,0.1934,arithmetic,2.86
G9F6C 81.25 Comdty,73.16999816894531,81.25,1.008219178082192,0.0452799987792968,0.1934,arithmetic,2.25
G9F7C 69 Comdty,73.16999816894531,69.0,2.0054794520547947,0.0452799987792968,0.1934,arithmetic,6.8
G9F7C 70 Comdty,73.16999816894531,70.0,2.0054794520547947,0.0452799987792968,0.1934,arithmetic,6.39
G9F7C 71.1 Comdty,73.16999816894531,71.1,2.0054794520547947,0.0452799987792968,0.1934,arithmetic,5.96
G9G6C 71.85 Comdty,73.16999816894531,71.85,1.084931506849315,0.0452799987792968,0.1934,arithmetic,5.04
G9G6C 72.75 Comdty,73.16999816894531,72.75,1.084931506849315,0.0452799987792968,0.1934,arithmetic,4.7
G9G6C 74 Comdty,73.16999816894531,74.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,4.26
G9G6C 74.4 Comdty,73.16999816894531,74.4,1.084931506849315,0.0452799987792968,0.1934,arithmetic,4.13
G9G6C 75 Comdty,73.16999816894531,75.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.93
G9G6C 75.75 Comdty,73.16999816894531,75.75,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.7
G9G6C 76.55 Comdty,73.16999816894531,76.55,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.47
G9G6C 76.6 Comdty,73.16999816894531,76.6,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.45
G9G6C 76.77 Comdty,73.16999816894531,76.77,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.4
G9G6C 77 Comdty,73.16999816894531,77.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.34
G9G6C 77.25 Comdty,73.16999816894531,77.25,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.27
G9G6C 78 Comdty,73.16999816894531,78.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,3.08
G9G6C 78.94 Comdty,73.16999816894531,78.94,1.084931506849315,0.0452799987792968,0.1934,arithmetic,2.85
G9G6C 79.25 Comdty,73.16999816894531,79.25,1.084931506849315,0.0452799987792968,0.1934,arithmetic,2.77
G9G6C 80 Comdty,73.16999816894531,80.0,1.084931506849315,0.0452799987792968,0.1934,arithmetic,2.61
G9G6C 81.25 Comdty,73.16999816894531,81.25,1.084931506849315,0.0452799987792968,0.1934,arithmetic,2.35
G9G7C 70 Comdty,73.16999816894531,70.0,2.0821917808219177,0.0452799987792968,0.1934,arithmetic,6.42
G9G7C 71.1 Comdty,73.16999816894531,71.1,2.0821917808219177,0.0452799987792968,0.1934,arithmetic,6.0
G9G7C 75 Comdty,73.16999816894531,75.0,2.0821917808219177,0.0452799987792968,0.1934,arithmetic,4.67
G9H6C 69.5 Comdty,73.16999816894531,69.5,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,6.08
G9H6C 70.85 Comdty,73.16999816894531,70.85,1.1726027397260277,0.0452799987792968,0.1934,arithmetic,5.51
